"serial_number","film_name","film_intro","film_star","film_eval","film_describe"
"99","一一","2000/台湾日本/剧情爱情家庭","8.9","178328人评价","我们都曾经是一一。"
"100","射雕英雄传之东成西就","1993/香港/喜剧古装","8.7","317075人评价","百看不厌。 "
"101","阿凡达","2009/美国英国/动作战争科幻冒险","8.6","613383人评价","绝对意义上的美轮美奂。"
"102","摩登时代","1936/美国/喜剧剧情爱情","9.2","109106人评价","大时代中的人生，小人物的悲喜。"
"103","阳光姐妹淘","2011/韩国/剧情喜剧","8.8","311346人评价","再多各自牛逼的时光，也比不上一起傻逼的岁月。 "
"104","上帝之城","2002/巴西法国/犯罪剧情","8.9","175310人评价","被上帝抛弃了的上帝之城。"
"105","爱在黎明破晓前","1995/美国奥地利瑞士/剧情爱情","8.7","259128人评价","缘分是个连绵词，最美不过一瞬。"
"106","消失的爱人","2014/美国/剧情犯罪悬疑惊悚","8.7","419509人评价","年度最佳date movie。"
"107","侧耳倾听","1995/日本/剧情爱情动画","8.8","201148人评价","少女情怀总是诗。"
"108","风之谷","1984/日本/动画奇幻冒险","8.8","202190人评价","动画片的圣经。"
"109","爱在日落黄昏时","2004/美国/剧情爱情","8.8","229274人评价","九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。"
"110","倩女幽魂","1987/香港/剧情爱情武侠古装","8.6","305074人评价","两张绝世的脸。 "
"111","超脱","2011/美国/剧情","8.8","205176人评价","穷尽一生，我们要学会的，不过是彼此拥抱。"
"112","恐怖直播","2013/韩国/剧情犯罪悬疑","8.7","268628人评价","恐怖分子的“秋菊打官司”。"
"113","红辣椒","2006/日本/动画悬疑科幻惊悚","8.9","160794人评价","梦的勾结。"
"114","喜剧之王","1999/香港/喜剧剧情爱情","8.6","376816人评价","我是一个演员。"
"115","小森林 夏秋篇","2014/日本/剧情","8.9","165402人评价","那些静得只能听见呼吸的日子里，你明白孤独即生活。"
"116","菊次郎的夏天","1999/日本/剧情喜剧","8.7","219117人评价","从没见过那么流氓的温柔，从没见过那么温柔的流氓。"
